x,y,Y,L,a,b,c,h
0.549,0.313,22.93,51.573,62.234,32.198,70.07,27.356
0.407,0.326,49.95,71.596,31.578,16.68,35.713,27.844
0.441,0.324,22.93,51.573,33.58,16.981,37.63,26.825
0.506,0.311,7.6,30.764,37.017,16.39,40.483,23.882
0.513,0.412,49.95,71.596,31.215,69.647,76.322,65.859
0.399,0.366,68.56,81.348,15.001,30.172,33.696,63.565
0.423,0.375,34.86,61.699,15.94,30.33,34.263,62.275
0.481,0.388,10.76,36.51,18.354,30.597,35.679,59.042
0.446,0.472,91.25,91.082,-5.7506,86.678,86.868,93.796
0.391,0.413,91.25,91.082,-5.4588,47.705,48.016,96.528
0.407,0.426,49.95,71.596,-3.3302,45.936,46.057,94.147
0.437,0.45,18.43,46.827,-0.92513,43.347,43.357,91.223
0.387,0.504,68.56,81.348,-32.919,72.055,79.218,114.55
0.357,0.42,79.9,86.444,-20.62,40.644,45.576,116.9
0.36,0.436,42.4,66.939,-19.975,37.45,42.444,118.07
0.369,0.473,18.43,46.827,-19.923,36.863,41.903,118.39
0.254,0.449,42.4,66.939,-59.948,24.537,64.775,157.74
0.288,0.381,63.9,79.091,-34.126,15.212,37.363,155.97
0.281,0.392,34.86,61.699,-33.267,14.065,36.118,157.08
0.261,0.419,12.34,38.964,-33.292,12.408,35.529,159.56
0.226,0.335,49.95,71.596,-44.315,-6.1068,44.734,187.85
0.267,0.33,68.56,81.348,-26.118,-2.7294,26.26,185.97
0.254,0.328,34.86,61.699,-25.402,-4.1266,25.735,189.23
0.233,0.324,13.92,41.216,-24.26,-5.4518,24.865,192.67
0.2,0.23,34.86,61.699,-13.209,-38.399,40.608,251.02
0.255,0.278,59.25,76.726,-8.8676,-20.82,22.63,246.93
0.241,0.265,28.9,56.991,-7.8584,-21.411,22.807,249.85
0.212,0.236,10.76,36.51,-6.5572,-23.727,24.616,254.55
0.272,0.156,18.43,46.827,57.212,-50.49,76.305,318.57
0.29,0.242,49.95,71.596,26.028,-27.872,38.135,313.04
0.287,0.222,22.93,51.573,28.052,-27.816,39.505,315.24
0.28,0.181,7.6,30.764,33.038,-29.66,44.399,318.08
0.31,0.316,0.3,2.3361,-0.0012256,-0.069311,0.069322,268.99
0.31,0.316,12.34,38.964,-0.0096122,-0.5405,0.54058,268.98
0.31,0.316,31.88,59.419,-0.013189,-0.74164,0.74176,268.98
0.31,0.316,63.9,79.091,-0.01663,-0.93509,0.93524,268.98
0.31,0.316,116,100,-0.020286,-1.1407,1.1409,268.98
