Participant,Concept,Color,Rating
1,Mango,1,0.28
1,Mango,2,0.0775
1,Mango,3,0.0775
1,Mango,4,0.2975
1,Mango,5,0.18
1,Mango,6,0.12
1,Mango,7,0.3225
1,Mango,8,0.17
1,Mango,9,0.305
1,Mango,10,0.1125
1,Mango,11,0.2075
1,Mango,12,0.2125
1,Mango,13,0.2275
1,Mango,14,0
1,Mango,15,0.25
1,Mango,16,0.5425
1,Mango,17,0.08
1,Mango,18,0
1,Mango,19,0.1675
1,Mango,20,0.22
1,Mango,21,0.1775
1,Mango,22,0.21
1,Mango,23,0
1,Mango,24,0.13
1,Mango,25,0.2
1,Mango,26,0.3275
1,Mango,27,0.2775
1,Mango,28,0.3625
1,Mango,29,0.195
1,Mango,30,0.6975
1,Mango,31,0.58
1,Mango,32,0.4875
1,Mango,33,0.365
1,Mango,34,0.4525
1,Mango,35,0.415
1,Mango,36,0.58
1,Mango,37,0.59
1,Mango,38,0.5275
1,Mango,39,0.6925
1,Mango,40,0.5825
1,Mango,41,0.87
1,Mango,42,0.96
1,Mango,43,0.815
1,Mango,44,0.5675
1,Mango,45,0.5325
1,Mango,46,0.6175
1,Mango,47,0.49
1,Mango,48,0.6475
1,Mango,49,0.7625
1,Mango,50,0.8875
1,Mango,51,0.83
1,Mango,52,0.8275
1,Mango,53,0.785
1,Mango,54,0.49
1,Mango,55,0.6475
1,Mango,56,0.55
1,Mango,57,0.8325
1,Mango,58,1
1,Watermelon,1,0.3875
1,Watermelon,2,0
1,Watermelon,3,0.2575
1,Watermelon,4,0.25
1,Watermelon,5,0.395
1,Watermelon,6,0.135
1,Watermelon,7,0.175
1,Watermelon,8,0.585
1,Watermelon,9,0.2375
1,Watermelon,10,0.8425
1,Watermelon,11,0.0775
1,Watermelon,12,0.11
1,Watermelon,13,0.105
1,Watermelon,14,0.27
1,Watermelon,15,0.0775
1,Watermelon,16,0.6675
1,Watermelon,17,0.08
1,Watermelon,18,0.09
1,Watermelon,19,0.16
1,Watermelon,20,0.1875
1,Watermelon,21,0.2025
1,Watermelon,22,0.265
1,Watermelon,23,0.21
1,Watermelon,24,0.2275
1,Watermelon,25,0.2375
1,Watermelon,26,0.4325
1,Watermelon,27,0.4925
1,Watermelon,28,0.695
1,Watermelon,29,0.5825
1,Watermelon,30,0.2125
1,Watermelon,31,0.865
1,Watermelon,32,0.91
1,Watermelon,33,0.9625
1,Watermelon,34,0.7625
1,Watermelon,35,0.1775
1,Watermelon,36,0.6775
1,Watermelon,37,0.245
1,Watermelon,38,0.25
1,Watermelon,39,0.225
1,Watermelon,40,0.1675
1,Watermelon,41,0.62
1,Watermelon,42,0.2025
1,Watermelon,43,0.82
1,Watermelon,44,0.97
1,Watermelon,45,0.8025
1,Watermelon,46,0.6475
1,Watermelon,47,0.9425
1,Watermelon,48,0.7875
1,Watermelon,49,0.2125
1,Watermelon,50,0.1475
1,Watermelon,51,0.2925
1,Watermelon,52,0.17
1,Watermelon,53,0.615
1,Watermelon,54,1
1,Watermelon,55,0.6025
1,Watermelon,56,0.7975
1,Watermelon,57,0.29
1,Watermelon,58,0.2275
1,Honeydew,1,0.3625
1,Honeydew,2,0.145
1,Honeydew,3,0.16
1,Honeydew,4,0.405
1,Honeydew,5,0.1375
1,Honeydew,6,0.18
1,Honeydew,7,0.28
1,Honeydew,8,0.2275
1,Honeydew,9,0.2075
1,Honeydew,10,0.1925
1,Honeydew,11,0.0075
1,Honeydew,12,0.135
1,Honeydew,13,0.105
1,Honeydew,14,0.1875
1,Honeydew,15,0.2125
1,Honeydew,16,0.1525
1,Honeydew,17,0
1,Honeydew,18,0.365
1,Honeydew,19,0.17
1,Honeydew,20,0.2825
1,Honeydew,21,0.35
1,Honeydew,22,0.195
1,Honeydew,23,0.87
1,Honeydew,24,0.135
1,Honeydew,25,0.4025
1,Honeydew,26,0.5275
1,Honeydew,27,0.3175
1,Honeydew,28,0
1,Honeydew,29,0.435
1,Honeydew,30,0.365
1,Honeydew,31,0.1025
1,Honeydew,32,0.155
1,Honeydew,33,0.0775
1,Honeydew,34,0.07
1,Honeydew,35,0.2975
1,Honeydew,36,0.24
1,Honeydew,37,0.795
1,Honeydew,38,0.6775
1,Honeydew,39,0.78
1,Honeydew,40,0.53
1,Honeydew,41,0.3075
1,Honeydew,42,0.7525
1,Honeydew,43,0.3225
1,Honeydew,44,0.1675
1,Honeydew,45,0.3275
1,Honeydew,46,0.6525
1,Honeydew,47,0.1475
1,Honeydew,48,0.1425
1,Honeydew,49,0.8975
1,Honeydew,50,0.87
1,Honeydew,51,0.8225
1,Honeydew,52,0.7075
1,Honeydew,53,0.4575
1,Honeydew,54,0.3175
1,Honeydew,55,0.6275
1,Honeydew,56,0.405
1,Honeydew,57,1
1,Honeydew,58,0.71
1,Cantaloupe,1,0.075
1,Cantaloupe,2,0.155
1,Cantaloupe,3,0.1875
1,Cantaloupe,4,0.2575
1,Cantaloupe,5,0.1525
1,Cantaloupe,6,0.1425
1,Cantaloupe,7,0.2575
1,Cantaloupe,8,0.045
1,Cantaloupe,9,0.275
1,Cantaloupe,10,0.18
1,Cantaloupe,11,0.16
1,Cantaloupe,12,0.005
1,Cantaloupe,13,0.1575
1,Cantaloupe,14,0.085
1,Cantaloupe,15,0.345
1,Cantaloupe,16,0
1,Cantaloupe,17,0
1,Cantaloupe,18,0.1525
1,Cantaloupe,19,0.1125
1,Cantaloupe,20,0.2225
1,Cantaloupe,21,0.165
1,Cantaloupe,22,0.3925
1,Cantaloupe,23,0.405
1,Cantaloupe,24,0.0675
1,Cantaloupe,25,0.0425
1,Cantaloupe,26,0.2775
1,Cantaloupe,27,0.245
1,Cantaloupe,28,0.225
1,Cantaloupe,29,0.1775
1,Cantaloupe,30,0.5425
1,Cantaloupe,31,0.6425
1,Cantaloupe,32,0.3375
1,Cantaloupe,33,0.185
1,Cantaloupe,34,0.3225
1,Cantaloupe,35,0.29
1,Cantaloupe,36,0.16
1,Cantaloupe,37,0.65
1,Cantaloupe,38,0.77
1,Cantaloupe,39,0.63
1,Cantaloupe,40,0.745
1,Cantaloupe,41,0.9325
1,Cantaloupe,42,0.8475
1,Cantaloupe,43,0.725
1,Cantaloupe,44,0.1425
1,Cantaloupe,45,0.3125
1,Cantaloupe,46,0.7075
1,Cantaloupe,47,0.395
1,Cantaloupe,48,0.6
1,Cantaloupe,49,0.7375
1,Cantaloupe,50,0.7175
1,Cantaloupe,51,1
1,Cantaloupe,52,0.93
1,Cantaloupe,53,0.785
1,Cantaloupe,54,0.585
1,Cantaloupe,55,0.5825
1,Cantaloupe,56,0.565
1,Cantaloupe,57,0.7525
1,Cantaloupe,58,0.905
1,Grapefruit,1,0.3875
1,Grapefruit,2,0
1,Grapefruit,3,0.5525
1,Grapefruit,4,0.3325
1,Grapefruit,5,0.5375
1,Grapefruit,6,0.575
1,Grapefruit,7,0.5975
1,Grapefruit,8,0.72
1,Grapefruit,9,0.8525
1,Grapefruit,10,0.62
1,Grapefruit,11,0.455
1,Grapefruit,12,0.32
1,Grapefruit,13,0.895
1,Grapefruit,14,0.6425
1,Grapefruit,15,0.7
1,Grapefruit,16,0.9225
1,Grapefruit,17,0.39
1,Grapefruit,18,0.7925
1,Grapefruit,19,0.6775
1,Grapefruit,20,0.43
1,Grapefruit,21,0.18
1,Grapefruit,22,0.665
1,Grapefruit,23,0
1,Grapefruit,24,0.1175
1,Grapefruit,25,0.17
1,Grapefruit,26,0.355
1,Grapefruit,27,0.5
1,Grapefruit,28,0.7225
1,Grapefruit,29,0.7825
1,Grapefruit,30,0.8575
1,Grapefruit,31,0.7925
1,Grapefruit,32,1
1,Grapefruit,33,0.27
1,Grapefruit,34,0.2
1,Grapefruit,35,0.4125
1,Grapefruit,36,0.1925
1,Grapefruit,37,0.2275
1,Grapefruit,38,0.34
1,Grapefruit,39,0.595
1,Grapefruit,40,0.2475
1,Grapefruit,41,0.7975
1,Grapefruit,42,0.6475
1,Grapefruit,43,0.8025
1,Grapefruit,44,0.855
1,Grapefruit,45,0.355
1,Grapefruit,46,0.3775
1,Grapefruit,47,0
1,Grapefruit,48,0.08
1,Grapefruit,49,0.3775
1,Grapefruit,50,0.595
1,Grapefruit,51,0.7775
1,Grapefruit,52,0.68
1,Grapefruit,53,0.675
1,Grapefruit,54,0.615
1,Grapefruit,55,0.29
1,Grapefruit,56,0.13
1,Grapefruit,57,0.5975
1,Grapefruit,58,0.62
1,Strawberry,1,0.1675
1,Strawberry,2,0.09
1,Strawberry,3,0.3
1,Strawberry,4,0.2325
1,Strawberry,5,0.14
1,Strawberry,6,0.2425
1,Strawberry,7,0.2075
1,Strawberry,8,0.67
1,Strawberry,9,0.74
1,Strawberry,10,0.715
