Fruit,FruitNum,ImageType,ImageNum,ModelType,Err,M_C1,M_C2,I_C1,I_C2
mango,1,Top50,1,Ball,0.929874003,-1,-1,-1,-1
mango,1,Top50,1,Sector,0.605348517,-1,1,-1,-1
mango,1,Top50,1,SectorCat,0.612187844,2,0,-1,-1
mango,1,Photo,2,Ball,0.954833861,-1,-1,-1,1
mango,1,Photo,2,Sector,0.61702483,-1,1,-1,1
mango,1,Photo,2,SectorCat,0.612537631,2,0,-1,1
mango,1,Cartoon,3,Ball,1.0906375,-1,-1,2,0
mango,1,Cartoon,3,Sector,0.920677208,-1,1,2,0
mango,1,Cartoon,3,SectorCat,0.974236579,2,0,2,0
watermelon,2,Top50,1,Ball,1.918230036,-1,-1,-1,-1
watermelon,2,Top50,1,Sector,1.787683826,-1,1,-1,-1
watermelon,2,Top50,1,SectorCat,1.459662729,2,0,-1,-1
watermelon,2,Photo,2,Ball,1.91059102,-1,-1,-1,1
watermelon,2,Photo,2,Sector,1.797921753,-1,1,-1,1
watermelon,2,Photo,2,SectorCat,1.457460375,2,0,-1,1
watermelon,2,Cartoon,3,Ball,1.694028532,-1,-1,2,0
watermelon,2,Cartoon,3,Sector,1.70205146,-1,1,2,0
watermelon,2,Cartoon,3,SectorCat,1.447005931,2,0,2,0
honeydew,3,Top50,1,Ball,0.537821163,-1,-1,-1,-1
honeydew,3,Top50,1,Sector,0.411227513,-1,1,-1,-1
honeydew,3,Top50,1,SectorCat,0.248197602,2,0,-1,-1
honeydew,3,Photo,2,Ball,0.520741657,-1,-1,-1,1
honeydew,3,Photo,2,Sector,0.388505961,-1,1,-1,1
honeydew,3,Photo,2,SectorCat,0.219816973,2,0,-1,1
honeydew,3,Cartoon,3,Ball,0.722191232,-1,-1,2,0
honeydew,3,Cartoon,3,Sector,0.544558971,-1,1,2,0
honeydew,3,Cartoon,3,SectorCat,0.469397717,2,0,2,0
cantaloupe,4,Top50,1,Ball,0.762483302,-1,-1,-1,-1
cantaloupe,4,Top50,1,Sector,0.569842255,-1,1,-1,-1
cantaloupe,4,Top50,1,SectorCat,0.461475309,2,0,-1,-1
cantaloupe,4,Photo,2,Ball,0.731419096,-1,-1,-1,1
