Concept,UW-58 Colors,True Rating,Top50_Ball,Top50_Sector,Top50_Sector+Category,Photo50_Ball,Photo50_Sector,Photo50_Sector+Category,Cartoon50_Ball,Cartoon50_Sector,Cartoon50_Sector+Category,Lin et al
mango,1,0.111435185,0.167353223,0.155926866,0.14720447,0.165105865,0.156929052,0.147629053,0.192338856,0.16294294,0.162955021,0.002680126
mango,2,0.076203704,0.170337713,0.147963319,0.142477205,0.174398865,0.148543831,0.142379116,0.182719027,0.153234957,0.156654552,0.001974774
mango,3,0.107685185,0.171008471,0.15195593,0.14496092,0.171330344,0.152040958,0.144551316,0.188827101,0.159334287,0.160657336,0.002475133
mango,4,0.108287037,0.132717942,0.155177357,0.146643321,0.131282578,0.154659867,0.145955658,0.154562767,0.160099524,0.160923631,0.002145103
mango,5,0.102314815,0.16978115,0.151047426,0.143555081,0.172857791,0.152694425,0.144335016,0.176265415,0.153262498,0.144990429,0.000743774
mango,6,0.115277778,0.171804896,0.155554379,0.146250051,0.173563648,0.156741926,0.146858217,0.178838831,0.159313443,0.149044156,0.000707107
mango,7,0.108888889,0.166203335,0.153783433,0.144983625,0.163652265,0.154133552,0.145075956,0.188630331,0.160331677,0.149375217,0.000208643
mango,8,0.111435185,0.170049795,0.158549553,0.147886214,0.172424591,0.160544892,0.149086613,0.172381311,0.153015234,0.144692402,0.000825981
mango,9,0.16,0.170594007,0.169695798,0.154533169,0.172849536,0.170852848,0.155471627,0.172691516,0.161090333,0.149481716,0.000726165
mango,10,0.148611111,0.170037222,0.197082581,0.17365132,0.172409078,0.1891537,0.169426508,0.171640141,0.215026509,0.186896303,0.001356651
mango,11,0.103564815,0.17013362,0.164367175,0.15179341,0.172414766,0.164890966,0.152045697,0.173755127,0.161717706,0.161983265,0.00364522
mango,12,0.095555556,0.170039453,0.158316274,0.148233629,0.172416587,0.16029195,0.149303529,0.171350767,0.153227515,0.156628483,0.00342438
mango,13,0.080277778,0.170038121,0.169480356,0.154921047,0.172412493,0.170347612,0.155496281,0.17232666,0.163114067,0.162528894,0.001576868
mango,14,0.068240741,0.170031333,0.15760402,0.14724759,0.172407255,0.156872968,0.14662288,0.171823929,0.150260775,0.142913877,0.000919355
mango,15,0.144768519,0.170031333,0.193988922,0.16884708,0.172407581,0.192741492,0.168685205,0.171056788,0.182127376,0.162140979,0.000887464
mango,16,0.124814815,0.170031333,0.145029486,0.142630657,0.172407255,0.1440066,0.141750923,0.171749783,0.151248528,0.146643212,0.000342308
mango,17,0.092777778,0.170031333,0.195066832,0.169602474,0.172407255,0.188002113,0.165821411,0.171042688,0.215419693,0.195586804,0.004113702
mango,18,0.082361111,0.170031333,0.144574304,0.139995856,0.172407255,0.143535324,0.138788433,0.171851154,0.148427235,0.153380849,0.00402703
mango,19,0.093564815,0.170031333,0.145019447,0.140218528,0.172407255,0.143997497,0.139040631,0.171438685,0.151427779,0.155067727,0.001470448
mango,20,0.093194444,0.170031333,0.141860228,0.138283648,0.172407255,0.141828726,0.137726585,0.171825317,0.146734143,0.152326925,0.00089957
mango,21,0.114398148,0.176897108,0.149903282,0.164319954,0.1751998,0.150814211,0.166682655,0.199895605,0.156389217,0.178599409,0.000371461
mango,22,0.110092593,0.135588545,0.148272252,0.142314076,0.132385361,0.148652551,0.142250928,0.161979227,0.157580378,0.159070853,0.001081007
mango,23,0.050601852,0.174725629,0.144524837,0.141650022,0.180404393,0.145598458,0.143281723,0.185007601,0.152864444,0.150655284,0.001497267
mango,24,0.066296296,0.184558571,0.146342217,0.142289349,0.189732253,0.147741965,0.14471405,0.195274558,0.157079477,0.157081742,0.002326881
mango,25,0.076805556,0.184837936,0.148453786,0.143597356,0.18217181,0.149263236,0.145560085,0.208975072,0.163280092,0.161530397,0.004066363
mango,26,0.143333333,0.145957732,0.160433298,0.147913854,0.14196039,0.159281365,0.149720126,0.168020838,0.219718267,0.193625388,0.004085361
mango,27,0.100138889,0.136741094,0.158752292,0.153670332,0.134250112,0.157142228,0.156116737,0.157898445,0.215902682,0.23284983,4.49E-06
mango,28,0.112175926,0.189015526,0.163057957,0.168378718,0.19736085,0.165666348,0.176856258,0.192310814,0.158810436,0.157022523,0.000623493
mango,29,0.222592593,0.195774116,0.169765648,0.159993548,0.197222363,0.170875796,0.160490134,0.198179492,0.16080917,0.15302151,0.00034681
mango,30,0.207361111,0.150919906,0.163950136,0.155532725,0.146505199,0.162620617,0.154580329,0.160445952,0.157436411,0.150772469,0.001455685
mango,31,0.185972222,0.193111041,0.194535669,0.176438523,0.191891315,0.193671939,0.17522926,0.178401201,0.1661875,0.156661714,0.00270422
