Concept,BCP-37 colors,True Rating,Sector+Category Prediction
Paper,1,0.1351,0.170349285
Paper,2,0.30566,0.181722008
Paper,3,0.2525,0.159287048
Paper,4,0.20077,0.160642548
Paper,5,0.21622,0.168809024
Paper,6,0.45617,0.226960313
Paper,7,0.3823,0.215032815
Paper,8,0.24153,0.159547713
Paper,9,0.29612,0.158106397
Paper,10,0.51005,0.169830985
Paper,11,0.39898,0.182288763
Paper,12,0.16684,0.166335321
Paper,13,0.26179,0.153367668
Paper,14,0.48913,0.171706159
Paper,15,0.32607,0.18833896
Paper,16,0.20821,0.158308459
Paper,17,0.22158,0.146482757
Paper,18,0.46413,0.20229751
Paper,19,0.31362,0.202908479
Paper,20,0.24571,0.148640252
Paper,21,0.30133,0.147463729
Paper,22,0.58582,0.173319495
Paper,23,0.38439,0.174860052
Paper,24,0.21582,0.150483111
Paper,25,0.31286,0.21841684
Paper,26,0.60862,0.209569401
Paper,27,0.46077,0.210259519
Paper,28,0.25852,0.167601335
Paper,29,0.16832,0.142988176
Paper,30,0.34235,0.198042742
Paper,31,0.26056,0.176502071
Paper,32,0.14352,0.146330665
Paper,33,0.16245,0.142346893
Paper,34,0.43541,0.209503793
Paper,35,0.73454,0.347092375
Paper,36,0.94781,0.36185558
Paper,37,0.99816,0.430803119
Plastic,1,0.255,0.194742607
Plastic,2,0.28179,0.193055812
Plastic,3,0.25704,0.194165537
Plastic,4,0.20066,0.198835521
Plastic,5,0.28949,0.184187786
Plastic,6,0.32163,0.195303124
Plastic,7,0.28429,0.197420582
Plastic,8,0.15857,0.188974702
Plastic,9,0.32,0.168985612
Plastic,10,0.33602,0.182490768
Plastic,11,0.26612,0.192426658
Plastic,12,0.18026,0.196398324
Plastic,13,0.29633,0.212401747
Plastic,14,0.3425,0.228353345
Plastic,15,0.2925,0.239476144
Plastic,16,0.18974,0.237222288
Plastic,17,0.31041,0.212443979
Plastic,18,0.41357,0.225174201
Plastic,19,0.3276,0.228385944
Plastic,20,0.27026,0.218858171
Plastic,21,0.42449,0.225796888
Plastic,22,0.58628,0.317998257
Plastic,23,0.42577,0.325747598
Plastic,24,0.32061,0.223432423
Plastic,25,0.4249,0.390634295
Plastic,26,0.61102,0.381611406
Plastic,27,0.49617,0.38893816
Plastic,28,0.38342,0.364129727
Plastic,29,0.25633,0.174649249
Plastic,30,0.27168,0.202031281
Plastic,31,0.2473,0.205628877
Plastic,32,0.21372,0.193888588
Plastic,33,0.30367,0.161636732
Plastic,34,0.53347,0.226763687
Plastic,35,0.72061,0.242175433
Plastic,36,0.77847,0.235171973
Plastic,37,0.78633,0.175329034
Trash,1,0.13031,0.13955372
Trash,2,0.21107,0.157107065
Trash,3,0.23602,0.182180268
Trash,4,0.37719,0.163315467
Trash,5,0.2576,0.140379873
Trash,6,0.2802,0.169491046
Trash,7,0.40837,0.197127613
Trash,8,0.75372,0.198887065
Trash,9,0.22796,0.139391532
Trash,10,0.31219,0.149082725
Trash,11,0.41036,0.161596372
Trash,12,0.80806,0.176110447
Trash,13,0.28347,0.15947386
Trash,14,0.27408,0.172059773
Trash,15,0.55607,0.188618905
Trash,16,0.69505,0.195201771
Trash,17,0.25464,0.163762098
Trash,18,0.25235,0.216822789
Trash,19,0.39653,0.23065095
Trash,20,0.53347,0.184328713
Trash,21,0.13418,0.16167506
Trash,22,0.17393,0.181476253
Trash,23,0.25679,0.188520568
Trash,24,0.35939,0.178511643
Trash,25,0.16546,0.233568182
Trash,26,0.20378,0.212716089
Trash,27,0.24332,0.233210309
Trash,28,0.32526,0.245803186
Trash,29,0.10612,0.138685079
Trash,30,0.14628,0.167757393
Trash,31,0.19806,0.187082918
Trash,32,0.18719,0.151056849
Trash,33,0.74541,0.268997522
Trash,34,0.74628,0.434822676
Trash,35,0.67842,0.431513936
Trash,36,0.45653,0.392585888
Trash,37,0.29219,0.220089059
Compost,1,0.10582,0.159463887
Compost,2,0.22423,0.222047706
Compost,3,0.29704,0.350854042
Compost,4,0.35684,0.24485409
Compost,5,0.26128,0.175404501
Compost,6,0.35179,0.233593709
Compost,7,0.52622,0.373025654
Compost,8,0.82592,0.401406932
Compost,9,0.30607,0.159197429
Compost,10,0.3273,0.197424852
Compost,11,0.44112,0.249729032
Compost,12,0.82337,0.295676169
Compost,13,0.26133,0.20036244
Compost,14,0.37602,0.227204389
Compost,15,0.58347,0.256040587
Compost,16,0.76709,0.266479852
Compost,17,0.36469,0.202447565
Compost,18,0.29888,0.219256998
Compost,19,0.49566,0.227783417
Compost,20,0.66276,0.21845334
Compost,21,0.17719,0.190098951
Compost,22,0.21393,0.1534251
Compost,23,0.28092,0.16134939
Compost,24,0.40005,0.203273094
Compost,25,0.15842,0.158743243
Compost,26,0.25158,0.161051883
Compost,27,0.29296,0.170596285
Compost,28,0.29531,0.16898577
Compost,29,0.11332,0.138439207
Compost,30,0.13485,0.152674803
Compost,31,0.14832,0.155900865
Compost,32,0.18597,0.149209696
Compost,33,0.49811,0.214231501
Compost,34,0.5927,0.189546438
Compost,35,0.58827,0.181913997
Compost,36,0.37031,0.184021788
Compost,37,0.30015,0.177570605
Metal,1,0.11036,0.136807624
Metal,2,0.15791,0.153173693
Metal,3,0.18842,0.168292293
Metal,4,0.2852,0.156537602
Metal,5,0.15138,0.137087751
Metal,6,0.14964,0.15872341
Metal,7,0.22046,0.179384184
Metal,8,0.38776,0.18422226
Metal,9,0.16041,0.136677341
Metal,10,0.21454,0.140894048
Metal,11,0.22138,0.145916748
Metal,12,0.34332,0.160452366
Metal,13,0.12821,0.137993789
Metal,14,0.16929,0.14328224
Metal,15,0.22735,0.156687066
Metal,16,0.18306,0.165786288
Metal,17,0.11173,0.137919218
Metal,18,0.21949,0.190816917
Metal,19,0.1924,0.203614874
